Target	Assoc	p.onl	n.onl	p.umi	n.umi
sazlık	otlak	0.038	2	0	0
sazlık	otluk	0	0	0.019	2
sazlık	saman	0.058	3	0.019	2
sazlık	tarla	0	0	0.019	2
serin	yaz akşamı	0	0	0.019	2
sofra	birlik	0	0	0.019	2
sofra	çatal	0	0	0.019	2
solo	Selpak	0	0	0.019	2
solo	performans	0	0	0.029	3
solo	tuvalet kağıdı	0.038	2	0.029	3
standart	alışılmış	0.038	2	0	0
standart	düz	0	0	0.019	2
standart	düzen	0	0	0.019	2
standart	format	0	0	0.029	3
suç	cezaevi	0	0	0.029	3
suç	hapis	0.058	3	0.095	10
suç	zanlı	0.038	2	0	0
süresiz	sınırsızlık	0	0	0.019	2
süresiz	zamansız	0	0	0.029	3
tabanca	kurusıkı	0	0	0.019	2
tabanca	suç	0	0	0.048	5
takoz	işe yaramaz	0	0	0.019	2
tane	karabiber	0	0	0.019	2
tane	mercimek	0	0	0.019	2
tane	çokluk	0	0	0.019	2
tanıtım	anlatma	0	0	0.019	2
tanıtım	fragman	0.038	2	0.019	2
tanıtım	konferans	0	0	0.019	2
tanıtım	video	0.038	2	0	0
tanıtım	özet	0	0	0.019	2
televizyon	haberler	0.038	2	0	0
toz	astım	0.038	2	0	0
toz	bezi	0	0	0.019	2
toz	kirlilik	0	0	0.019	2
uçak	Lost	0	0	0.019	2
uçak	havaalanı	0.038	2	0.029	3
uçak	seyahat	0.038	2	0.029	3
vali	kar tatili	0	0	0.029	3
vali	otorite	0	0	0.019	2
vali	yetkili	0	0	0.019	2
vali	İstanbul	0	0	0.019	2
vatan	Türkiye	0.135	7	0.057	6
vatan	birlik	0	0	0.019	2
vatan	hain	0	0	0.019	2
virüs	AIDS	0	0	0.019	2
yama	terzi	0.058	3	0.048	5
yarış	ödül	0	0	0.019	2
yatsı	eğik	0	0	0.019	2
yatsı	eğri	0	0	0.019	2
yatsı	sabah	0	0	0.019	2
yatsı	yan	0	0	0.019	2
yeni	başlangıç	0.038	2	0	0
yoga	Pilates	0.077	4	0.095	10
yoga	dinginlik	0	0	0.019	2
yoga	esnemek	0.038	2	0	0
yoga	rahatlamak	0.096	5	0.038	4
yoga	sakinlik	0	0	0.019	2
yoga	tayt	0	0	0.038	4
yüzük	alyans	0.038	2	0.048	5
yüzük	efendi	0.038	2	0	0
zaman	boyut	0.038	2	0	0
zaman	kum saati	0.058	3	0.029	3
