Cue	Set	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6
giysi	2	0.219	0.2	0.086	0.048	0.038	0.029
giysi	3	0.25	0.25	0.077	0.058	0.058	0.038
gülüş	1	0.17	0.15	0.08	0.07	0.06	0.06
gülüş	2	0.219	0.114	0.095	0.067	0.048	0.038
gülüş	3	0.269	0.115	0.096	0.077	0.038	0.038
hasar	1	0.23	0.22	0.1	0.08	0.06	0.04
hasar	2	0.2	0.19	0.162	0.057	0.029	0.029
hasar	3	0.25	0.192	0.173	0.077	0.038	0.038
hata	1	0.29	0.06	0.04	0.04	0.04	0.03
hata	2	0.457	0.048	0.038	0.029	0.029	0.019
hata	3	0.385	0.058	0.038	0.038	0.038	0.038
hayat	1	0.23	0.11	0.07	0.05	0.05	0.03
hayat	2	0.229	0.095	0.067	0.038	0.029	0.029
hayat	3	0.288	0.077	0.077	0.058	0.038	0.038
hayvan	1	0.23	0.17	0.11	0.07	0.03	0.03
hayvan	2	0.229	0.152	0.076	0.057	0.038	0.038
hayvan	3	0.25	0.115	0.077	0.058	0.058	0.038
haz	1	0.46	0.07	0.05	0.03	0.03	0.02
haz	2	0.276	0.152	0.057	0.048	0.048	0.038
haz	3	0.231	0.096	0.096	0.058	0.058	0.058
hırçınlık	1	0.11	0.11	0.09	0.08	0.05	0.05
hırçınlık	2	0.105	0.086	0.086	0.076	0.029	0.029
hırçınlık	3	0.135	0.096	0.058	0.038	0.038	0.038
hoşnut	1	0.53	0.16	0.05	0.03	0.03	0.03
hoşnut	2	0.267	0.181	0.105	0.057	0.029	0.029
hoşnut	3	0.308	0.231	0.058	0.058	0.038	0.038
hukuk	1	0.23	0.19	0.15	0.09	0.05	0.04
hukuk	2	0.2	0.133	0.133	0.124	0.067	0.048
hukuk	3	0.173	0.135	0.135	0.058	0.058	0.058
hüzün	1	0.18	0.1	0.09	0.06	0.05	0.05
hüzün	2	0.162	0.143	0.114	0.067	0.067	0.038
hüzün	3	0.135	0.115	0.115	0.077	0.058	0.058
iğde	1	0.39	0.11	0.11	0.05	0.03	0.03
iğde	2	0.267	0.181	0.143	0.029	0.029	0.029
iğde	3	0.192	0.077	0.077	0.077	0.058	0.038
imza	1	0.13	0.1	0.09	0.07	0.06	0.05
imza	2	0.076	0.076	0.076	0.067	0.038	0.038
imza	3	0.115	0.058	0.058	0.058	0.038	0.038
inanç	1	0.35	0.12	0.06	0.05	0.05	0.05
inanç	2	0.495	0.057	0.057	0.038	0.038	0.029
inanç	3	0.5	0.077	0.077	0.058	0.038	0.038
iyilik	1	0.23	0.12	0.07	0.06	0.05	0.04
iyilik	2	0.286	0.095	0.086	0.067	0.048	0.038
iyilik	3	0.231	0.115	0.096	0.077	0.077	0.058
kapı	1	0.13	0.1	0.1	0.09	0.07	0.06
kapı	2	0.114	0.086	0.067	0.067	0.048	0.048
kapı	3	0.096	0.096	0.077	0.077	0.058	0.058
kas	1	0.16	0.1	0.07	0.05	0.05	0.04
kas	2	0.162	0.143	0.143	0.105	0.038	0.038
kas	3	0.192	0.173	0.173	0.077	0.058	0.019
katil	1	0.247	0.103	0.093	0.072	0.062	0.041
katil	2	0.133	0.133	0.105	0.095	0.048	0.048
katil	3	0.192	0.173	0.096	0.058	0.058	0.038
kayıp	1	0.15	0.15	0.12	0.07	0.06	0.05
